pclass,survived,sex,age,sibsp,parch,fare,cabin,embarked,title
1,0,male,28,0,0,47.1,,S,Mr
1,0,male,17,0,0,47.1,,S,Mr
1,1,male,11,1,2,120,B96,S,Master
1,1,female,14,1,2,120,B96,S,Miss
1,1,male,36,1,2,120,B96,S,Mr
1,1,female,36,1,2,120,B96,S,Mrs
1,0,male,49,0,0,26,,S,Mr
1,1,female,,0,0,27.7208,,C,Mrs
1,0,male,36,1,0,78.85,C46,S,Mr
1,1,female,76,1,0,78.85,C46,S,Mrs
1,0,male,46,1,0,61.175,E31,S,Mr
1,1,female,47,1,0,61.175,E31,S,Mrs
1,1,male,27,1,0,53.1,E8,S,Mr
1,1,female,33,1,0,53.1,E8,S,Mrs
1,1,female,36,0,0,262.375,B61,C,Miss
1,1,female,30,0,0,86.5,B77,S,Miss
1,1,male,45,0,0,29.7,A9,C,Mr
1,1,female,,0,1,55,E33,S,Mrs
1,0,male,,0,0,0,,S,Mr
1,0,male,27,1,0,136.7792,C89,C,Mr
1,1,female,26,1,0,136.7792,C89,C,Mrs
1,1,female,22,0,0,151.55,,S,Miss
1,0,male,,0,0,52,A14,S,Mr
1,0,male,47,0,0,25.5875,E58,S,Mr
1,1,female,39,1,1,83.1583,E49,C,Miss
1,0,male,37,1,1,83.1583,E52,C,Mr
1,1,female,64,0,2,83.1583,E45,C,Mrs
1,1,female,55,2,0,25.7,C101,S,Mrs
1,0,male,,0,0,26.55,,S,Mr
1,0,male,70,1,1,71,B22,S,Other
1,1,female,36,0,2,71,B22,S,Miss
1,1,female,64,1,1,26.55,B26,S,Mrs
1,0,male,39,1,0,71.2833,C85,C,Mr
1,1,female,38,1,0,71.2833,C85,C,Mrs
1,1,male,51,0,0,26.55,E17,S,Mr
1,1,male,27,0,0,30.5,,S,Mr
1,1,female,33,0,0,151.55,,S,Miss
1,0,male,31,1,0,52,B71,S,Mr
1,1,female,27,1,2,52,B71,S,Mrs
1,1,male,31,1,0,57,B20,S,Mr
1,1,female,17,1,0,57,B20,S,Mrs
1,1,male,53,1,1,81.8583,A34,S,Other
1,1,male,4,0,2,81.8583,A34,S,Master
1,1,female,54,1,1,81.8583,A34,S,Mrs
1,0,male,50,1,0,106.425,C86,C,Mr
1,1,female,27,1,1,247.5208,B58,C,Mrs
1,1,female,48,1,0,106.425,C86,C,Mrs
1,1,female,48,1,0,39.6,A16,C,Mrs
1,1,male,49,1,0,56.9292,A20,C,Mr
1,0,male,39,0,0,29.7,A18,C,Mr
1,1,female,23,0,1,83.1583,C54,C,Mrs
1,1,female,38,0,0,227.525,C45,C,Miss
1,1,female,54,1,0,78.2667,D20,C,Miss
1,0,female,36,0,0,31.6792,A29,C,Miss
1,0,male,,0,0,221.7792,C95,S,Mr
1,1,female,,0,0,31.6833,,S,Mrs
1,1,female,,0,0,110.8833,,C,Miss
1,1,male,36,0,0,26.3875,E25,S,Mr
1,0,male,30,0,0,27.75,C111,C,Mr
1,1,female,24,3,2,263,C23,S,Miss
1,1,female,28,3,2,263,C23,S,Miss
1,1,female,23,3,2,263,C23,S,Miss
1,0,male,19,3,2,263,C23,S,Mr
1,0,male,64,1,4,263,C23,S,Mr
1,1,female,60,1,4,263,C23,S,Mrs
1,1,female,30,0,0,56.9292,E36,C,Miss
1,0,male,,0,0,26.55,D34,S,Mr
1,1,male,50,2,0,133.65,,S,Other
1,1,male,43,1,0,27.7208,D40,C,Mr
1,1,female,,1,0,133.65,,S,Mrs
1,1,female,22,0,2,49.5,B39,C,Miss
1,1,male,60,1,1,79.2,B41,C,Mr
1,1,female,48,1,1,79.2,B41,C,Mrs
1,0,male,,0,0,0,B102,S,Mr
1,0,male,37,1,0,53.1,C123,S,Mr
1,1,female,35,1,0,53.1,C123,S,Mrs
1,0,male,47,0,0,38.5,E63,S,Mr
1,1,female,35,0,0,211.5,C130,C,Miss
1,1,female,22,0,1,59.4,,C,Miss
1,1,female,45,0,1,59.4,,C,Mrs
1,0,male,24,0,0,79.2,B86,C,Mr
1,1,male,49,1,0,89.1042,C92,C,Mr
1,1,female,,1,0,89.1042,C92,C,Mrs
1,0,male,71,0,0,34.6542,A5,C,Mr
1,1,male,53,0,0,28.5,C51,C,Other
1,1,female,19,0,0,30,B42,S,Miss
1,0,male,38,0,1,153.4625,C91,S,Mr
1,1,female,58,0,1,153.4625,C125,S,Mrs
1,1,male,23,0,1,63.3583,D10,C,Mr
1,1,female,45,0,1,63.3583,D10,C,Mrs
1,0,male,46,0,0,79.2,B82,C,Mr
1,1,male,25,1,0,55.4417,E50,C,Mr
1,1,female,25,1,0,55.4417,E50,C,Mrs
1,1,male,48,1,0,76.7292,D33,C,Mr
1,1,female,49,1,0,76.7292,D33,C,Mrs
1,0,male,,0,0,42.4,,S,Mr
1,0,male,45,1,0,83.475,C83,S,Mr
1,1,female,35,1,0,83.475,C83,S,Mrs
1,0,male,40,0,0,0,B94,S,Mr
1,1,male,27,0,0,76.7292,D49,C,Mr
1,1,male,,0,0,30,D45,S,Mr
1,1,female,24,0,0,83.1583,C54,C,Miss
1,0,male,55,1,1,93.5,B69,S,Mr
1,1,female,52,1,1,93.5,B69,S,Mrs
1,0,male,42,0,0,42.5,B11,S,Mr
1,0,male,,0,0,51.8625,E46,S,Mr
1,0,male,55,0,0,50,C39,S,Mr
1,1,female,16,0,1,57.9792,B18,C,Miss
1,1,female,44,0,1,57.9792,B18,C,Mrs
1,1,female,51,1,0,77.9583,D11,S,Mrs
1,0,male,42,1,0,52,,S,Mr
1,1,female,35,1,0,52,,S,Mrs
1,1,male,35,0,0,26.55,,C,Mr
1,1,male,38,1,0,90,C93,S,Mr
1,0,male,,0,0,30.6958,,C,Mr
1,1,female,35,1,0,90,C93,S,Mrs
1,1,female,38,0,0,80,B28,,Miss
1,0,female,50,0,0,28.7125,C49,C,Miss
1,1,male,49,0,0,0,B52,S,Mr
1,0,male,46,0,0,26,,S,Mr
1,0,male,50,0,0,26,E60,S,Mr
1,0,male,32.5,0,0,211.5,C132,C,Mr
1,0,male,58,0,0,29.7,B37,C,Mr
1,0,male,41,1,0,51.8625,D21,S,Mr
1,1,female,,1,0,51.8625,D21,S,Mrs
1,1,male,42,1,0,52.5542,D19,S,Mr
1,1,female,45,1,0,52.5542,D19,S,Mrs
1,0,male,,0,0,26.55,C124,S,Mr
1,1,female,39,0,0,211.3375,,S,Miss
1,1,female,49,0,0,25.9292,D17,S,Other
1,1,female,30,0,0,106.425,,C,Miss
1,1,male,35,0,0,512.3292,B101,C,Mr
1,0,male,,0,0,27.7208,,C,Mr
1,0,male,42,0,0,26.55,,S,Mr
1,1,female,55,0,0,27.7208,,C,Mrs
1,1,female,16,0,1,39.4,D28,S,Miss
1,1,female,51,0,1,39.4,D28,S,Mrs
1,0,male,29,0,0,30,D6,S,Mr
1,1,female,21,0,0,77.9583,D9,S,Miss
1,0,male,30,0,0,45.5,,S,Mr
1,1,female,58,0,0,146.5208,B80,C,Miss
1,1,female,15,0,1,211.3375,B5,S,Miss
1,0,male,30,0,0,26,C106,S,Mr
1,1,female,16,0,0,86.5,B79,S,Miss
1,1,male,,0,0,29.7,C47,C,Mr
1,0,male,19,1,0,53.1,D30,S,Mr
1,1,female,18,1,0,53.1,D30,S,Mrs
1,1,female,24,0,0,49.5042,C90,C,Mrs
1,0,male,46,0,0,75.2417,C6,C,Mr
1,0,male,54,0,0,51.8625,E46,S,Mr
1,1,male,36,0,0,26.2875,E25,S,Mr
1,0,male,28,1,0,82.1708,,C,Mr
1,1,female,,1,0,82.1708,,C,Mrs
1,0,male,65,0,0,26.55,E38,S,Mr
1,0,male,44,2,0,90,C78,Q,Other
1,1,female,33,1,0,90,C78,Q,Miss
1,1,female,37,1,0,90,C78,Q,Mrs
1,1,male,30,1,0,57.75,C78,C,Mr
1,0,male,55,0,0,30.5,C30,S,Mr
1,0,male,47,0,0,42.4,,S,Mr
1,0,male,37,0,1,29.7,C118,C,Mr
1,1,female,31,1,0,113.275,D36,C,Miss
1,1,female,23,1,0,113.275,D36,C,Miss
1,0,male,58,0,2,113.275,D48,C,Mr
1,1,female,19,0,2,26.2833,D47,S,Miss
1,0,male,64,0,0,26,,S,Mr
1,1,female,39,0,0,108.9,C105,C,Other
1,1,male,,0,0,25.7417,,C,Mr
1,1,female,22,0,1,61.9792,B36,C,Miss
1,0,male,65,0,1,61.9792,B30,C,Mr
1,0,male,28.5,0,0,27.7208,D43,C,Mr
1,0,male,,0,0,0,,S,Mr
1,0,male,45.5,0,0,28.5,C124,S,Mr
1,0,male,23,0,0,93.5,B24,S,Mr
1,0,male,29,1,0,66.6,C2,S,Mr
1,1,female,22,1,0,66.6,C2,S,Mrs
1,0,male,18,1,0,108.9,C65,C,Mr
1,1,female,17,1,0,108.9,C65,C,Mrs
1,1,female,30,0,0,93.5,B73,S,Miss
1,1,male,52,0,0,30.5,C104,S,Other
1,0,male,47,0,0,52,C110,S,Mr
1,1,female,56,0,1,83.1583,C50,C,Mrs
1,0,male,38,0,0,0,,S,Other
1,1,male,,0,0,39.6,,S,Mr
1,0,male,22,0,0,135.6333,,C,Mr
1,0,male,,0,0,227.525,,C,Mr
1,1,female,43,0,1,211.3375,B3,S,Mrs
1,0,male,31,0,0,50.4958,A24,S,Mr
1,1,male,45,0,0,26.55,,S,Mr
1,0,male,,0,0,50,A32,S,Mr
1,1,female,33,0,0,27.7208,A11,C,Miss
1,0,male,46,0,0,79.2,,C,Mr
1,0,male,36,0,0,40.125,A10,C,Mr
1,1,female,33,0,0,86.5,B77,S,Other
1,0,male,55,1,0,59.4,,C,Mr
1,1,female,54,1,0,59.4,,C,Mrs
1,0,male,33,0,0,26.55,,S,Mr
1,1,male,13,2,2,262.375,B57,C,Master
1,1,female,18,2,2,262.375,B57,C,Miss
1,1,female,21,2,2,262.375,B57,C,Miss
1,0,male,61,1,3,262.375,B57,C,Mr
1,1,female,48,1,3,262.375,B57,C,Mrs
1,1,male,,0,0,30.5,C106,S,Mr
1,1,female,24,0,0,69.3,B35,C,Other
1,1,male,,0,0,26,,S,Mr
1,1,female,35,1,0,57.75,C28,C,Mrs
1,1,female,30,0,0,31,,C,Miss
1,1,male,34,0,0,26.55,,S,Mr
1,1,female,40,0,0,153.4625,C125,S,Miss
1,1,male,35,0,0,26.2875,E24,S,Mr
1,0,male,50,1,0,55.9,E44,S,Mr
1,1,female,39,1,0,55.9,E44,S,Mrs
1,1,male,56,0,0,35.5,A26,C,Other
1,1,male,28,0,0,35.5,A6,S,Mr
1,0,male,56,0,0,26.55,,S,Mr
1,0,male,56,0,0,30.6958,A7,C,Mr
1,0,male,24,1,0,60,C31,S,Mr
1,0,male,,0,0,26,A19,S,Mr
1,1,female,18,1,0,60,C31,S,Mrs
1,1,male,24,1,0,82.2667,B45,S,Mr
1,1,female,23,1,0,82.2667,B45,S,Mrs
1,1,male,6,0,2,134.5,E34,C,Master
1,1,male,45,1,1,134.5,E34,C,Mr
1,1,female,40,1,1,134.5,E34,C,Mrs
1,0,male,57,1,0,146.5208,B78,C,Mr
1,1,female,,1,0,146.5208,B78,C,Mrs
1,1,male,32,0,0,30.5,B50,C,Other
1,0,male,62,0,0,26.55,C87,S,Mr
1,1,male,54,1,0,55.4417,C116,C,Mr
1,1,female,43,1,0,55.4417,C116,C,Mrs
1,1,female,52,1,0,78.2667,D20,C,Mrs
1,0,male,,0,0,27.7208,,C,Mr
1,1,female,62,0,0,80,B28,,Mrs
1,0,male,67,1,0,221.7792,C55,S,Mr
1,0,female,63,1,0,221.7792,C55,S,Mrs
1,0,male,61,0,0,32.3208,D50,S,Mr
1,1,female,48,0,0,25.9292,D17,S,Mrs
1,1,female,18,0,2,79.65,E68,S,Miss
1,0,male,52,1,1,79.65,E67,S,Mr
1,1,female,39,1,1,79.65,E67,S,Mrs
1,1,male,48,1,0,52,C126,S,Mr
1,1,female,,1,0,52,C126,S,Mrs
1,0,male,49,1,1,110.8833,C68,C,Mr
1,1,male,17,0,2,110.8833,C70,C,Mr
1,1,female,39,1,1,110.8833,C68,C,Mrs
1,1,female,,0,0,79.2,,C,Mrs
